SupplierID,SKU,Barcode
1,999-vyk-317,z2783613083817
1,999-vyk-317,n7405223693844
1,999-vyk-317,c7417468772846
1,999-vyk-317,w3744746803743
1,999-vyk-317,w2572813758673
1,999-vyk-317,s7013910076253
1,999-vyk-317,m1161615509466
2,999-oad-768,p2359014924610
2,999-oad-768,a7802303764525
2,999-oad-768,o5194275040472
2,999-oad-768,j9023946968130
2,999-oad-768,x5678105140949
2,999-oad-768,c9083052423045
2,999-oad-768,f4322915485228
2,999-oad-768,i0471865670980
2,999-oad-768,b4381274928349
3,165-rcy-650,u5160747892301
3,165-rcy-650,m8967092785598
3,165-rcy-650,l7342139757479
3,165-rcy-650,p1667270888414
3,165-rcy-650,v0874763455559
3,165-rcy-650,p9774916416859
3,165-rcy-650,c4858834209466
3,165-rcy-650,x7331732444187
3,165-rcy-650,u7720008047675
3,165-rcy-650,i2431892662423
3,165-rcy-650,o1336108796249
3,165-rcy-650,w7839803663600
4,999-eol-949,x6971219877032
4,999-eol-949,x7340270328026
4,999-eol-949,x0126648261918
4,999-eol-949,x9858014383660
4,999-eol-949,x2338856941909
4,999-eol-949,x5056026479965
4,999-eol-949,x7425424390056
4,999-eol-949,x0864219864945
4,999-eol-949,x1257743939800
4,999-eol-949,x0880467790155
4,999-eol-949,x4469253605532
4,999-eol-949,x0891358702681
5,999-epd-782,b8954999835177
5,999-epd-782,b2381485695273
5,999-epd-782,b0588794459804
5,999-epd-782,b8710606253394
5,999-epd-782,b5184937926186
5,999-epd-782,b4059282550570
5,999-epd-782,b3213966445562
5,999-epd-782,b3343396882074
